IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,79.29,,,78.82,,79.85,79.3 [78.8-79.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,79.79,,,79.28,,80.35,79.8 [79.3-80.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CRI,Costa Rica,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,80.3,,,80.2,,80.42,80.3 [80.2-80.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,PRI,Puerto Rico,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,80.5,,,80.41,,80.66,80.5 [80.4-80.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,GRC,Greece,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,80.91,,,80.89,,80.99,80.9 [80.9-81.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,DEU,Germany,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,80.97,,,80.91,,81.03,81.0 [80.9-81.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CHL,Chile,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.03,,,81,,81.12,81.0 [81.0-81.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.22,,,81.16,,81.29,81.2 [81.2-81.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.29,,,81.14,,81.47,81.3 [81.1-81.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,DNK,Denmark,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.28,,,81.25,,81.38,81.3 [81.2-81.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.41,,,81.06,,81.89,81.4 [81.1-81.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,PRT,Portugal,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.37,,,81.35,,81.45,81.4 [81.4-81.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,AUT,Austria,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.65,,,81.63,,81.73,81.6 [81.6-81.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,BEL,Belgium,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.61,,,81.59,,81.7,81.6 [81.6-81.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,FIN,Finland,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.65,,,81.61,,81.75,81.6 [81.6-81.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.81,,,81.78,,81.92,81.8 [81.8-81.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,IRL,Ireland,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,81.94,,,81.9,,82.06,81.9 [81.9-82.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CAN,Canada,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.02,,,82.01,,82.09,82.0 [82.0-82.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,MLT,Malta,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.15,,,81.99,,82.39,82.1 [82.0-82.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.18,,,81.97,,82.48,82.2 [82.0-82.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.34,,,82.32,,82.42,82.3 [82.3-82.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ISL,Iceland,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.47,,,82.34,,82.7,82.5 [82.3-82.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.5,,,82.42,,82.67,82.5 [82.4-82.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,FRA,France,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.53,,,82.52,,82.6,82.5 [82.5-82.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,AUS,Australia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.64,,,82.63,,82.72,82.6 [82.6-82.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ISR,Israel,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.57,,,82.55,,82.67,82.6 [82.6-82.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,NOR,Norway,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.66,,,82.63,,82.76,82.7 [82.6-82.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SWE,Sweden,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.71,,,82.7,,82.8,82.7 [82.7-82.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,LUX,Luxembourg,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.8,,,82.65,,83,82.8 [82.7-83.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ITA,Italy,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82.99,,,82.93,,83.04,83.0 [82.9-83.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,ESP,Spain,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,83.14,,,83.07,,83.2,83.1 [83.1-83.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CHE,Switzerland,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,83.48,,,83.46,,83.56,83.5 [83.5-83.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,83.69,,,83.68,,83.76,83.7 [83.7-83.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,83.9,,,83.86,,84,83.9 [83.9-84.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,84.47,,,84.41,,84.52,84.5 [84.4-84.5],,,EN,2024-08-01T23:00:00.000Z
