IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,COM,Comoros,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,18.49,,,17.95,,19.17,18.5 [17.9-19.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,GHA,Ghana,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,18.52,,,17.95,,19.21,18.5 [18.0-19.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,18.52,,,17.95,,19.17,18.5 [18.0-19.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,SEN,Senegal,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,18.55,,,17.98,,19.29,18.5 [18.0-19.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.49,,,18.13,,18.86,18.5 [18.1-18.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,IND,India,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.52,,,18.31,,18.81,18.5 [18.3-18.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,18.55,,,17.79,,19.29,18.6 [17.8-19.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,NGA,Nigeria,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.61,,,17.8,,19.54,18.6 [17.8-19.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,18.57,,,17.95,,19.26,18.6 [18.0-19.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.6,,,18.03,,19.31,18.6 [18.0-19.3],,,EN,2024-08-01T23:00:00.000Z
